Date,Org_Code,Parent_Org,Org_Name,AE_atte_Type1,AE_atte_Type2,AE_atte_Other,No_att_over_4hrs_Type1,No_att_over_4hrs_Type2,No_att_over_4hrs_Other,4to12hs_to_admis,More12hs_to_admis,Emg_Admis_AE_Type1,Emg_Admis_AE_Type2,Emg_Admis_AE_Other
2018-04-30,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1432,0,0,0,0,0,0,0,0
2018-04-30,RDD,NHS ENGLAND MIDLANDS AND EAST (EAST),BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12239,0,0,1504,0,0,255,0,3071,0,0
2018-04-30,AJN,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),WORKINGTON HEALTH LIMITED,0,0,361,0,0,0,0,0,0,0,0
2018-04-30,R1J,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),GLOUCESTERSHIRE CARE SERVICES NHS TRUST,0,0,5864,0,0,36,0,0,0,0,1
2018-04-30,RHU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",PORTSMOUTH HOSPITALS NHS TRUST,9267,736,1920,1863,0,3,621,0,3317,2,2
2018-04-30,RBZ,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NORTHERN DEVON HEALTHCARE NHS TRUST,3814,0,925,724,0,0,163,0,1043,0,0
2018-04-30,RGP,NHS ENGLAND MIDLANDS AND EAST (EAST),JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5362,0,1143,816,0,24,122,0,1387,0,0
2018-04-30,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,12736,1068,0,2279,24,0,975,5,3372,17,0
2018-04-30,NNF76,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),THE WILBERFORCE HEALTH CENTRE,0,0,3584,0,0,0,0,0,0,0,0
2018-04-30,RBA,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),TAUNTON AND SOMERSET NHS FOUNDATION TRUST,6150,0,0,695,0,0,44,0,2156,0,0
2018-04-30,RWP,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,10121,0,5311,3810,0,0,1222,44,2963,0,0
2018-04-30,RXL,NHS ENGLAND NORTH (LANCASHIRE AND SOUTH CUMBRIA),BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6192,0,11541,2715,0,33,1138,9,2282,0,0
2018-04-30,R1D,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2034,0,0,9,0,0,0,0,0
2018-04-30,RL1,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0
2018-04-30,RL4,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),THE ROYAL WOLVERHAMPTON NHS TRUST,10709,0,8466,1704,0,58,214,0,2544,0,0
2018-04-30,RPC,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,923,0,0,2,0,0,0,0,33
2018-04-30,RCU,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4428,0,49,103,0,0,0,0,624,0,0
2018-04-30,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,4932,0,0,16,0,0,0,0,0
2018-04-30,REP,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1059,0,0,18,0,0,0,0,100,0
2018-04-30,RTP,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",SURREY AND SUSSEX HEALTHCARE NHS TRUST,8320,0,0,378,0,0,197,0,2274,0,0
2018-04-30,RA4,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4388,0,0,82,0,0,0,0,1292,0,0
2018-04-30,RNA,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),THE DUDLEY GROUP NHS FOUNDATION TRUST,8259,0,5783,1892,0,32,462,0,1935,0,0
2018-04-30,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4449,0,0,47,0,0,0,0,0
2018-04-30,Y03094,NHS ENGLAND LONDON,THE JUNCTION HC - UNREGISTERED PATIENTS,0,0,3235,0,0,0,0,0,0,0,0
2018-04-30,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4505,0,0,0,0,0,0,0,0
2018-04-30,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5287,0,7724,2511,0,54,271,2,1878,0,0
2018-04-30,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1430,0,0,7,0,0,0,0,0
2018-04-30,RDU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",FRIMLEY HEALTH NHS FOUNDATION TRUST,19437,0,0,2401,0,0,392,0,6215,0,0
2018-04-30,RR7,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),GATESHEAD HEALTH NHS FOUNDATION TRUST,7567,0,2576,426,0,0,82,0,1560,0,0
2018-04-30,NNF94,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),EAST RIDING COMMUNITY HOSPITAL,0,0,2027,0,0,0,0,0,0,0,0
2018-04-30,R1F,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",ISLE OF WIGHT NHS TRUST,3732,0,128,679,0,0,164,0,867,0,0
2018-04-30,NNF09,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),BRANSHOLME HEALTH CENTRE,0,0,2327,0,0,10,0,0,0,0,0
2018-04-30,Y02584,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),WALK IN CENTRE,0,0,471,0,0,0,0,0,0,0,0
2018-04-30,RTF,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8322,0,8477,176,0,19,0,0,3947,0,27
2018-04-30,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,799,0,0,0,0,0,0,0,0
2018-04-30,NNF99,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),HORNSEA COTTAGE HOSPITAL,0,0,25,0,0,0,0,0,0,0,0
2018-04-30,RFF,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7656,0,0,745,0,0,83,0,2071,0,0
2018-04-30,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,3700,0,0,0,0,0,0,0,0
2018-04-30,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,9680,0,0,0,0,0,0,0,0
2018-04-30,RRK,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,9831,0,0,1759,0,0,473,0,3842,0,0
2018-04-30,C82038,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0,0,215,0,0,0,0,0,0,0,0
2018-04-30,RJC,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5463,0,686,585,0,1,31,0,1717,0,0
2018-04-30,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0,0,1505,0,0,0,0,0,0,0,0
2018-04-30,RY4,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,865,0,0,1,0,0,0,0,0
2018-04-30,NNF18,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),WITHERNSEA HOSPITAL,0,0,17,0,0,0,0,0,0,0,0
2018-04-30,RNZ,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),SALISBURY NHS FOUNDATION TRUST,3887,310,0,290,0,0,75,0,1195,0,0
2018-04-30,RGQ,NHS ENGLAND MIDLANDS AND EAST (EAST),IPSWICH HOSPITAL NHS TRUST,6901,0,985,919,0,0,45,0,1841,0,157
2018-04-30,RD8,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7244,0,4739,474,0,5,72,0,1573,0,0
2018-04-30,RVJ,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),NORTH BRISTOL NHS TRUST,7429,0,0,1261,0,0,373,0,2536,0,0
2018-04-30,RGN,NHS ENGLAND MIDLANDS AND EAST (EAST),NORTH WEST ANGLIA NHS FOUNDATION TRUST,11573,0,720,2179,0,0,171,0,3494,0,1
2018-04-30,RAE,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9992,0,1020,1773,0,17,247,0,3594,0,0
2018-04-30,RGR,NHS ENGLAND MIDLANDS AND EAST (EAST),WEST SUFFOLK NHS FOUNDATION TRUST,5596,0,371,896,0,0,17,0,2113,0,0
2018-04-30,NNFA7,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),GOOLE & DISTRICT HOSPITAL,0,0,1148,0,0,5,0,0,0,0,0
2018-04-30,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",20369,730,2687,4970,2,31,101,10,4943,0,0
2018-04-30,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15414,0,6963,4530,0,203,1011,24,4212,0,0
2018-04-30,RR8,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),LEEDS TEACHING HOSPITALS NHS TRUST,16021,0,3316,3629,0,0,1038,0,4954,0,0
2018-04-30,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,2036,0,0,0,0,0,0,0,0
2018-04-30,RWA,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,11154,0,0,1895,0,0,447,0,3102,0,0
2018-04-30,RBT,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,5286,0,1890,1235,0,9,0,0,2077,0,0
2018-04-30,RNU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2653,0,0,60,0,0,0,0,0
2018-04-30,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,655,0,0,3,0,0,0,0,4
2018-04-30,RA9,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6124,0,2931,1122,0,0,291,1,2528,0,0
2018-04-30,RWE,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,17840,1678,0,4615,46,0,1093,0,4226,10,0
2018-04-30,RBS,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4938,0,0,234,0,0,0,0,1048,0,0
2018-04-30,RXQ,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,6523,1189,4472,1684,0,37,716,0,2913,766,0
2018-04-30,RMC,NHS ENGLAND NORTH (GREATER MANCHESTER),BOLTON NHS FOUNDATION TRUST,8813,0,985,1690,0,12,266,3,2234,0,33
2018-04-30,RN5,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,8887,0,1013,1033,0,4,554,0,2307,0,0
2018-04-30,RD3,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),POOLE HOSPITAL NHS FOUNDATION TRUST,5526,0,1716,1074,0,1,144,0,1692,0,0
2018-04-30,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3588,0,0,1,0,0,0,0,0
2018-04-30,RA3,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),WESTON AREA HEALTH NHS TRUST,3825,0,0,476,0,0,0,0,1016,0,0
2018-04-30,RY5,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,10456,0,0,182,0,0,0,0,3
2018-04-30,RN7,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",DARTFORD AND GRAVESHAM NHS TRUST,8874,0,1791,985,0,10,156,0,2754,0,0
2018-04-30,RK5,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,8188,0,4264,898,0,53,203,0,2599,0,12
2018-04-30,ATQ02,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),WALSALL URGENT CARE CENTRE (COMMUNITY SITE),0,0,3329,0,0,0,0,0,0,0,0
2018-04-30,RM3,NHS ENGLAND NORTH (GREATER MANCHESTER),SALFORD ROYAL NHS FOUNDATION TRUST,8069,0,666,1530,0,0,498,0,2646,0,0
2018-04-30,RWD,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,12165,0,1097,3948,0,0,1127,0,3503,0,0
2018-04-30,RNQ,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7222,0,0,1312,0,0,518,0,2541,0,0
2018-04-30,NNF70,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),ALFRED BEAN HOSPITAL,0,0,17,0,0,0,0,0,0,0,0
2018-04-30,RTK,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,8084,0,242,1334,0,3,266,0,1942,0,8
2018-04-30,RDE,NHS ENGLAND MIDLANDS AND EAST (EAST),COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,7942,0,4887,523,0,47,119,0,2398,0,0
2018-04-30,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,12477,0,11782,2690,0,323,468,0,4457,0,0
2018-04-30,RH8,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7396,0,3891,666,0,1,71,0,1878,0,0
2018-04-30,RGT,NHS ENGLAND MIDLANDS AND EAST (EAST),CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9315,0,3229,1303,0,2,152,0,2999,0,18
2018-04-30,RYG,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,14
2018-04-30,RD1,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6176,0,974,1375,0,6,4,0,2501,0,33
2018-04-30,RTV,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,0,0,1723,0,0,0,0,0,0,0,0
2018-04-30,RY8,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5943,0,0,1,0,0,0,0,0
2018-04-30,RBL,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7279,0,3102,2048,0,0,526,0,2404,0,0
2018-04-30,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3650,0,0,0,0,0,0,0,0
2018-04-30,RHW,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",ROYAL BERKSHIRE NHS FOUNDATION TRUST,8870,1490,953,712,47,0,94,0,2913,0,0
2018-04-30,RWG,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),WEST HERTFORDSHIRE HOSPITALS NHS TRUST,7787,0,3596,1404,0,4,389,0,2753,0,0
2018-04-30,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,7885,0,0,266,0,0,0,0,19,0
2018-04-30,RH5,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,7547,0,0,53,0,0,0,0,0
2018-04-30,RJF,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),BURTON HOSPITALS NHS FOUNDATION TRUST,5453,0,4293,499,0,0,72,0,1790,0,1
2018-04-30,RK9,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8266,214,4067,2322,0,89,118,0,2888,0,0
2018-04-30,RY2,NHS ENGLAND NORTH (GREATER MANCHESTER),BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,11903,0,0,133,0,0,0,0,0
2018-04-30,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,18962,0,3228,2697,0,0,786,0,4073,0,0
2018-04-30,NLT02,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),CLEVEDON HOSPITAL,0,0,1329,0,0,0,0,0,0,0,0
2018-04-30,RBK,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),WALSALL HEALTHCARE NHS TRUST,6193,0,3323,1640,0,1,334,0,1947,0,0
2018-04-30,RPA,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",MEDWAY NHS FOUNDATION TRUST,7796,0,2474,2247,0,0,904,1,2276,0,0
2018-04-30,RVW,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3693,0,10624,306,0,16,38,0,1514,0,643
2018-04-30,R0A,NHS ENGLAND NORTH (GREATER MANCHESTER),MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,20433,3481,9213,3712,72,25,961,0,6110,175,170
2018-04-30,RBV,NHS ENGLAND NORTH (GREATER MANCHESTER),THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0
2018-04-30,REM,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7240,0,6998,2116,0,5,644,0,3253,0,0
2018-04-30,RYR,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,11773,0,0,731,0,0,78,0,3555,0,0
2018-04-30,RXP,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,10773,0,6848,1799,0,0,682,0,3575,0,0
2018-04-30,RAJ,NHS ENGLAND MIDLANDS AND EAST (EAST),SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7003,0,1243,830,0,32,71,0,2510,0,0
2018-04-30,RV9,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),HUMBER TEACHING NHS FOUNDATION TRUST,0,0,766,0,0,0,0,0,0,0,0
2018-04-30,RKB,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11581,1775,5976,2853,25,57,543,0,4007,93,1
